北京众成国际旅行社有限公司,150-500人,未融资,北京,['旅游顾问'],3-6千/月,[],"['\n        岗位职责:\n', '1.熟悉公司产品体系，负责公司全部旅游产品的销售及推广;\n', '2.根据公司的营销计划，执行公司销售活动，完成部门规定的销售任务;\n', '3.幵拓新市场，发展新客户，维护老客户，增加公司旅游产品销售范围;\n', '4.负责渠道客户的维护，积极收集客户的反馈信息，并主动配合各部门解决问题。\n', '任职资格:\n', '1.有旅游销售或者金融销售工作经验者优先\n', '2、性格开朗，为入热情，对工作有高度的责任心，具备良好的团队精神和不断开拓进取的精神;\n', '3、热爱销售工作，善于与人沟通，较强的语言表达能力和独立解决问题的销售能力,具备一定的商务洽谈及社交能力;\n', '4、吃苦耐劳，愿意在旅游行业内发展，并想挑战高薪证明自己能力者;\n', '5、努力完成 上级交代的任务\n', '（欢迎广大优秀应届毕业生投递）\n', '备注：入职需上一个公司离职证明\n        ']"
天津贴心旅行社有限公司,15-50人,未融资,天津,['旅游顾问'],3-6千/月,"['岗位职责：', '1、招徕客户，通过咨询服务，为客户介绍公司旅游线路及行程；', '2、与游客签订旅游合同；', '3、通过网络宣传旅游线路；', '4、平台线路发布，客户维护；', '5、跟团并做好服务工作，及时处理客户的投诉，收集客户的反馈意见；', '任职要求：', '1、有旅游顾问，微信平台运营管理，中老年服务工作类似经验的优先；应届生亦可。', '2、热爱销售，能够吃苦，有较好的抗压力。', '3、性格开朗热情，有很好的亲和力，思维敏捷，具有良好的表达能力和沟通能力。', '工作时间：8:00---18:00', '福利待遇：', '1、八小时工作制，单休调休，法定节假日正常；', '2、试用期1--3个月，试用期无责底薪3000，转正之后平均综合工资6000左右；提成另算', '3、节日福利；定期组织团建活动；', '4、公司提供住宿']","['\n        ', '\n        ']"
北京明夷同人旅游咨询服务有限公司,500-2000人,天使轮,北京,['旅游顾问'],6-1万/月,"['工作地点：永安里双子座大厦', '我们诚聘有能力，有理想，想赚钱的人加入我们的团队！我们期待与您美好的相遇！', '岗位职责：', '1.负责销售公司的旅游业务，并为客户匹配合适的旅游线路\xa0', '2.不定期跟团出行途中跟客户沟通，挖掘客户需求，', '3.维护好老客户，以便于二次销售业务', '4.团队一起开发客户，公司资源共享，以会员制形式维护客户群体，后期需开发新客户', '岗位需求：', '1.为人亲和，做事认真，善于沟通，良好的社交能力。', '2.吃苦耐劳，有良好的抗压能力', '3.学历不限，专业不限，沟通能力强，热爱旅游等方面', '\xa0', '福利待遇：', '1.基本工资＋绩效＋提成，平均工资两万五左右', '2.入职以后公司上五险，补充商业险', '3.公司入职6个月可竞争管理岗，有能力者优先']","['\n        ', '\n        ']"
成都万宝利电视购物有限公司,50-150人,不需要融资,成都,['旅游顾问'],4-6千/月,"['职位详情', '旅游顾问，旅游客户经理', '工作内容：', '1、熟悉公司销售的旅游线路，能为顾客推荐、分享和答疑。', '2、顾客为有旅游需求的中老年人。需有耐心和爱心的做好服务和讲解工作。', '3、公司以电视栏目《享游天下惠》的形式推销旅游产品和特色线路。需对来电咨询顾客的进行答疑并引导顾客签约。', '4、建立客户档案，维护好客户关系，主动邀约客户参加公司组织的线下活动。', '职位要求：', '1.有热情有爱心愿意从事旅游的营销人员（旅游从业经验或者旅游相关专业毕业生优先）；', '2.喜爱旅游 乐观向上 认真负责，对工作积极主动。', '3.有耐心和爱心，以及良好的沟通能力。', '4.要求普通话熟练，口齿清晰。', '试用期薪资：无责底薪2000+300考核奖励+产品销售5%—15%提成，', '转正后：无责底薪2000+500绩效+产品销售5%—15%高额提成+旅游销售提成。\xa0', '工作时间：9:30—18:30，能接受单休，享受国家法定节假日。']","['\n        ', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n        ']"
广州幂动科技有限公司,50-150人,未融资,广州,['旅游销售顾问（直播）'],6-1.2万/月,[],"['\n        【岗位职责】\n', '1、负责出镜拍摄抖音短视频、在抖音等直播平台进行直播，推介销售旅游产品；\n', '2、以优质的服务解答客户对旅游产品线路的咨询；\n', '3、根据客户需求，推介相应的旅游路线；\n', '4、了解旅游市场趋势，做好产品营销；\n', '5、开拓客户资源，并建立良好客户关系；\n', '6、致力完成公司所制定的销售指标。\n', '【任职要求】\n', '1、大专以上学历，阳光开朗，热爱旅游；\n', '2、有1年以上旅游行业销售经验，会聊天，有服务意识，善于与人沟通，具备较好的协调、沟通能力；\n', '3、熟悉贵州、云南、广西、张家界等旅游线路优先考虑；\n', '4、有良好的心理及适应能力，能承受业绩指标；\n', '5、有较强的自我驱动力、学习能力与执行力；\n', '6、有团队合作精神，思维活跃。\n', 'PS：福利好待遇高，入职买五险一金、商业保险，公司提供免费午餐、晚餐补贴、下午茶、国内外旅游等，底薪6000元以上+高提成，公司有营销运营团队、提供流量渠道、转化销售，齐心协力合作！\n        ']"
重庆名都丰盛旅游投资有限公司,150-500人,未融资,重庆,['旅游顾问'],5-9千/月,"['重庆名都丰盛集团是一家集古镇复建开发，养老养生公寓，温泉度假酒店，景区生态陵园，生态农业发展为一体的大型集团公司。由于业务蒸蒸日上，急需有志于长期共同发展的伙伴加入。目前招聘中的销售代表职位情况如下\xa0：', '薪资待遇：', '新进员工底薪+业绩提成综合工资在6000-10000', '岗位职责：', '1.负责新客户资料收集，开发新客户并建议有效沟通。', '2.陪同客户参观景区；', '3.维护老客户关系，挖掘客户最大潜力，建立长期的合作关系；', '4.有中老年人客户资源的优先录取。', '任职资格：', '1.18岁至45岁，有无销售经验均可；', '2.能吃苦耐劳，具有良好的沟通能力，团队合作，自我激励能力；', '3.每周休息1天', '工作地点在杨家坪步行街西城国际写字楼，可提供住宿。']","['\n        ', '\n        ']"
重庆名都丰盛旅游投资有限公司,150-500人,未融资,重庆,['旅游顾问'],10-1.1万/月,"['我们公司主要是政府合作，从事旅游，养老，陵园，生态园等产业', '薪资待遇：', '员工薪资10000-15000+电话补助+餐补+交通补助', '岗位职责：', '1.负责新客户资料收集并有效沟通，开发新客户', '2.维护老客户，建立关系有效沟通，建立长期的合作关系', '任职资格：', '1.20岁至50岁，有无销售经验均可，有经验者优先', '2.服从领导安排，有效的完成上面安排的任务，和同事建立良好的关系', '3.能吃苦耐劳，具有良好的沟通能力，团队合作，自我激励能力', '公司扩大急招有想法，有梦想，真正想赚钱的家人加入！']","['\n        ', '\n        ']"
心旅程国际旅行社（山东）有限公司,150-500人,未融资,济南,['旅游顾问'],3-4千/月,"['岗位职责', '1，负责推销公司旅游产品，特色线路，完成签单。', '2，开发新客户，拓展与老客户的业务，维护客户。', '3，维系客户资源，解答客户所有疑问。', '4，负责外联广告宣传促销工作。', '薪资待遇', '试用期1-3个月，转正缴纳六险一金.']","['\n        ', '\n        ']"
北京明夷同人旅游咨询服务有限公司,500-2000人,天使轮,北京,['旅游顾问'],8-1.3万/月,"['公司详情', '公司有四大模块旅游、农场、养老、旅居，是一个多元化的平台，为了开拓市场，公司大量招人', '岗位职责', '1、全面解答客户对旅游线路的咨询，将旅游线路的详细信息及特色正确传达给客户2、对提交的订单及时进行处理和跟进，维护现有客户、开发潜在客户', '3、为客户安排旅游行程，并落实相关事宜', '4、协助产品经理进行市场信息的收集、分析', '任职要求', '1、热爱旅游行业，有无经验均可，有旅游工作经验者优先考虑', '2、热爱销售，有一定的抗压能力', '3、工作积极，有一定的工作素养', '4、细心热心，关爱老年人，服务意识强烈', '薪资待遇', '1、基本工资+业绩提成\xa0\xa0根据业绩定底薪\xa0月收入综合10—20k\xa0', '2、转正六险，补充商业险', '3、早九点晚五点半，中午休息一个半小时']","['\n        ', '\n        ']"
四川驴友邦国际旅行社有限公司,15-50人,未融资,成都,['旅游顾问'],3-6千/月,"['做过旅游顾问者优先，高绩效提成，欢迎你的加入！', '岗位职责：', '1、负责与客户进行有效沟通，根据用户需求提供旅游咨询服务；', '2、负责对客户进行培训和指导，并提出合理的建议和分析报告；', '3、负责拓展业务，不断开发新的客户、维持老客户；', '4、负责和相关部门进行具体项目的沟通，保证咨询项目的顺利进行。', '任职资格：', '1、旅游专业优先考虑，有相关工作经验者优先、可接受应届生；', '2、工作认真踏实，能承受一定的工作压力；', '3、具有良好的沟通能力和亲和力，有责任心，团队合作精神强。', '工作时间：\xa0早班8：30-17:30,晚班15:30-23:30\xa0单休']","['\n        ', '\n        ']"
环球爱玩（北京）网络科技有限公司,150-500人,不需要融资,北京,['旅游顾问'],6-1万/月,[],"['\n        销售人员岗位职责：\n', '1、外出收档，收集有旅游意向的客户信息客户资料。\n', '2、整理客户信息，电话访问或登门访问，邀约客户参加公司活动。\n', '3、向顾客介绍公司产品、旅游路线、路线报价、行程安排。为顾客提供优质服务，促成出单。\n', '4、成单后后期维护老客户关系，经常电话沟通或家访，在公司有新活动或新路线新政策时提前与老客户沟通。\n', '福利待遇：\n', '1、朝九晚六双休，享受国家法定节假日\n', '2、转正缴纳五险\n', '3、节假日福利\n', '4、入职满一年享受免费旅游一次，父母免费旅游一次\n', '5、晋升快，晋升空间广\n', '6、不定期团结\n', '任职要求：\n', '喜欢和老年人打交道，有亲和力，性格开朗，热爱旅游行业，具有较强的客户服务意识，善于交际，善于沟通。有同行业经验的优先录取\n', '工作地点：\n', '北京市石景山实行大街30号院8号楼5层（总部）\n', '北京市门头沟区石门营A3区\n', '北京市朝阳区十里河文创大厦508\n', '面试通过后可选择工作地点\n        ']"
