北京颐生乐康旅游有限公司,50 - 99人,私营·股份制企业,北京,旅游顾问,8K-10K/月,['办理旅游业务\n\n岗位薪资待遇\n1、底薪4000+奖金500\n提成每单2-15不等\n2、每月20日发工资\n3、每月公休四天\n4、上班时间7小时，时间自由\n5、工作地址亦庄线经海路天骐智谷28号楼\n\n岗位要求\n1、普通话标准、口齿伶俐\n2、年龄18-30岁\n3、学历不限\n4、微信运营或销售优先']
成都德亲生物技术有限公司,100 - 499人,其他,广元,旅游顾问,5K-10K/月,['岗位职责：\n1、进行客户的开发及收集市场和客户的反馈；\n2、进行公司旅游产品的推广、销售；\n3、维护与客户的关系并提供专业咨询及售后服务\n任职要求：\n1、20-28岁，中专及以上学历；\n2、旅游管理、市场营销等相关专业优先；\n3、孝敬父母及长辈，每周至少与父母通话1次；\n4、愿意从事旅游行业，认同企业文化；\n5、接受优秀、有梦想的优秀应届毕业生；\n其他：\n1、社保+商业保险+旅游团建+员工生日会+带薪培训\n2、无上限、无阶梯提成，直接给到最大提成值，你能创造多大价值，就能匹配你最满意的薪资；\n']
成都德亲生物技术有限公司,100 - 499人,其他,乐山,旅游顾问,5K-10K/月,['岗位职责：\n1、进行客户的开发及收集市场和客户的反馈；\n2、进行公司旅游产品的推广、销售；\n3、维护与客户的关系并提供专业咨询及售后服务\n任职要求：\n1、20-28岁，中专及以上学历；\n2、旅游管理、市场营销等相关专业优先；\n3、孝敬父母及长辈，每周至少与父母通话1次；\n4、愿意从事旅游行业，认同企业文化；\n5、接受优秀、有梦想的优秀应届毕业生；\n其他：\n1、社保+商业保险+旅游团建+员工生日会+带薪培训\n2、无上限、无阶梯提成，直接给到最大提成值，你能创造多大价值，就能匹配你最满意的薪资；\n']
成都德亲生物技术有限公司,100 - 499人,其他,自贡,旅游顾问,5K-10K/月,['岗位职责：\n1、进行客户的开发及收集市场和客户的反馈；\n2、进行公司旅游产品的推广、销售；\n3、维护与客户的关系并提供专业咨询及售后服务\n任职要求：\n1、20-28岁，中专及以上学历；\n2、旅游管理、市场营销等相关专业优先；\n3、孝敬父母及长辈，每周至少与父母通话1次；\n4、愿意从事旅游行业，认同企业文化；\n5、接受优秀、有梦想的优秀应届毕业生；\n其他：\n1、社保+商业保险+旅游团建+员工生日会+带薪培训\n2、无上限、无阶梯提成，直接给到最大提成值，你能创造多大价值，就能匹配你最满意的薪资；\n']
成都德亲生物技术有限公司,100 - 499人,其他,遂宁,旅游顾问,5K-10K/月,['岗位职责：\n1、进行客户的开发及收集市场和客户的反馈；\n2、进行公司旅游产品的推广、销售；\n3、维护与客户的关系并提供专业咨询及售后服务\n任职要求：\n1、20-28岁，中专及以上学历；\n2、旅游管理、市场营销等相关专业优先；\n3、孝敬父母及长辈，每周至少与父母通话1次；\n4、愿意从事旅游行业，认同企业文化；\n5、接受优秀、有梦想的优秀应届毕业生；\n其他：\n1、社保+商业保险+旅游团建+员工生日会+带薪培训\n2、无上限、无阶梯提成，直接给到最大提成值，你能创造多大价值，就能匹配你最满意的薪资；\n']
成都德亲生物技术有限公司,100 - 499人,其他,眉山,旅游顾问,5K-10K/月,['岗位职责：\n1、进行客户的开发及收集市场和客户的反馈；\n2、进行公司旅游产品的推广、销售；\n3、维护与客户的关系并提供专业咨询及售后服务\n任职要求：\n1、20-28岁，中专及以上学历；\n2、旅游管理、市场营销等相关专业优先；\n3、孝敬父母及长辈，每周至少与父母通话1次；\n4、愿意从事旅游行业，认同企业文化；\n5、接受优秀、有梦想的优秀应届毕业生；\n其他：\n1、社保+商业保险+旅游团建+员工生日会+带薪培训\n2、无上限、无阶梯提成，直接给到最大提成值，你能创造多大价值，就能匹配你最满意的薪资；\n']
成都德亲生物技术有限公司,100 - 499人,其他,内江,旅游顾问,5K-10K/月,['岗位职责：\n1、进行客户的开发及收集市场和客户的反馈；\n2、进行公司旅游产品的推广、销售；\n3、维护与客户的关系并提供专业咨询及售后服务\n任职要求：\n1、20-28岁，中专及以上学历；\n2、旅游管理、市场营销等相关专业优先；\n3、孝敬父母及长辈，每周至少与父母通话1次；\n4、愿意从事旅游行业，认同企业文化；\n5、接受优秀、有梦想的优秀应届毕业生；\n其他：\n1、社保+商业保险+旅游团建+员工生日会+带薪培训\n2、无上限、无阶梯提成，直接给到最大提成值，你能创造多大价值，就能匹配你最满意的薪资；\n']
太原国际经济技术合作公司,100 - 499人,国有企业,海外,商品部计调分析,8K-15K/月,['商品数据分析，包括日周月报分析，新品铺货分析，货品结构分析及优化，消费偏好分析等\n 检查仓库库存数据准确性及地点管理\n 仓库物料及配件管理，保证数据准确及补货及时\n 竞品分析\n 上级交代的其它工作任务']
太原国际经济技术合作公司,100 - 499人,国有企业,海外,旅行社计调/OP,6K-15K/月,['1，与组团社落实接待计划。\r\n 2，跟当地OP确认各项预定。\r\n 3，团队报价，成本控制。\r\n 4，团队日常各项事件处理。\r\n ']
太原国际经济技术合作公司,100 - 499人,国有企业,海外,旅游定制师,6K-10K/月,['1、根据客户要求定制行程并精准报价。\n 2、与客户沟通，修改并最终确认。\n 3、与当地OP落实相关预定。\n 4、全程为客户跟踪解决突发事件。']
太原国际经济技术合作公司,100 - 499人,国有企业,海外,导游领队,10K-20K/月,['1：中英文流利，了解菲律宾本地的旅游市场。\n 2：对本地的旅游景点，旅游商品，本地特产，小吃，风俗，都有一定了解。\n 3：有良好的沟通技巧，性格开朗，能和客人以最短的时间成为朋友。\n 4：推销旅游产品，回答顾客查询的问题。提供吃住行游购娱等各方面的信息。\n 5：有在菲律宾工作生活经验，有旅游相关工作经验和导游证优先。']
