广州百汇企业管理有限公司,50-150人,民营公司,广州-黄埔区,诚聘公司领队（管理）人员,4.5-6千/月,"['工作需知：1）团队精神要有 2）协助公司事务处理 3）需要性格开朗，比较善于沟通的，口齿清晰，勤快 4）善良且有耐心，有较强的抗压能力，吃苦耐劳 5）平日里要与员工有较多的交流，处理员工的一些工作事务 6）灵活 应变 7）年龄 28 -- 35 岁左右，男生。生熟手均可，愿意学习即可。 ', '上班时间：9.00--18.00   中午休息1个半', '薪资待遇：4000--6000  左右，具体面谈。节日福利+五险+员工聚餐+不定期旅游', '要求：责任心强，有一定的社交能力，能够独立完成工作事情以及解决任何的问题']"
江苏人民广播电台,500-1000人,国企,南京-秦淮区,自驾游领队、导游,3-6千/月,"['江苏嘀嘀叭叭国际旅游有限公司是江苏省广播电视总台（集团）广播传媒下属全资子公司，公司专业从事出境旅游、国内旅游、自驾游、机票预订、免费旅游咨询服务。公司秉承江苏交通广播网服务为先的优质理念，依托江苏交通广播听众资源，力求为客户提供高品质的旅游相关服务，打造真正高品质的旅游专家，先后推出运作了“环球之旅”、“走遍中国”、“交广自驾游”等优质旅游项目。因业务发展需要，江苏嘀嘀叭叭国际旅游有限公司面向社会招聘自驾游领队2名，具体要求如下：', '1、大专及以上学历，1年以上相关工作经验；', '2、能独立完成旅游线路的踩线工作，并进行线路的规划和整理，在发团过程中做好领队的各项工作；', '3、有驾照，具有娴熟的驾驶能力；', '4、岗位职责：负责旅游线路的规划、发团，外出旅游团队的服务管理。', '有应聘意向者请于2020年8月30日之前投递简历。一旦录用，提供有竞争力的薪酬福利待遇。感谢您的关注！']"
武汉世纪天源环保技术有限公司,50-150人,民营公司,武汉-东西湖区,环保工程安装领队,0.8-1.5万/月,"['1、5年以上水处理工程安装经验，能依据工艺图纸要求熟练准确完成管道、设备安装。', '2、能熟练利用工程安装经验美观布局管道，设备，配电，工程安装美观整齐。', '3、具备大型污水处理项目安装经验，具有带班领队能力；', '4、具有安装团队更优！', '5、能力者自荐，亦可协商安装分包。']"
石台中硒科技功能农业研究院有限公司,50-150人,民营公司,合肥-瑶海区,急招旅游领队,3.5-6千/月,"['岗位职责：', '1.、接受领导分配的导游任务，按接待计划组织游客参观、浏览；', '2、负责旅游过程中联系、衔接、协调工作；', '3、按旅行接待行程，', '4、反映游客的意见和要求，', '5、耐心解答游客的问询，妥善处理旅游服务相关方面的协作关系，以及旅途中发生的各类问题；', '6、旅游地区主要是石台', '任职资格：', '1、性格开朗、能说会道；', '2、普通话标准，热爱旅游事业；', '3、具备良好的沟通协调能力、突发事件处理能力及抗压能力；', '4、有无导游证都可以']"
杭州昊梦文化传媒有限公司,少于50人,民营公司,杭州,活动执行领队,5-8千/月,"['岗位职责：', '1、负责去哪家族各类活动执行：青少年活动、亲子活动、冬夏令营、市场活动等带队执行；', '2、负责和活动合作方、客户进行对接，做好所有确认事项，协调活动资源；', '3、负责解决活动现场遇到的问题以及突发紧急情况的反馈和处理；', '4、负责和参与活动的人员（青少年、家长等）进行深度沟通，传播去哪家族理念；', '5、负责参与制定各类活动的执行标准手册；', '6、完成其他领导交办的临时性工作；', '任职要求：', '1、相关工作2年及以上经验者优先；', '2、具有共情能力，具有场控能力；', '3、身体素质好、吃苦耐劳、纪律性强、喜欢户外，安全意识强、有一定的组织能力、突发情况应变能力以及解决问题的能力；', '4、有心理学、教育学等专业背景或从业经验者优先']"
嘉善县西塘镇智杕蕃薯藤有机生态农场有限公司,50-150人,民营公司,嘉兴,导览员\/领队,4-8千/月,"['工作内容：', '1、负责有机农场和有机生活馆日常参观、讲解和接待相关工作；', '2、参与公司项目讲稿的更新和培训考核；', '3、负责讲解设备的日常维护管理工作；', '4、负责完成领导交办的临时工作。', '工作要求：', '1、男女不限，有导游领队或售楼经验佳。', '2、形象气质佳，体态均匀。', '3、性格活泼开朗，口齿清楚，普通话标准。', '4、女生要求会画淡妆，男生长相干净。', '5、上班时间：周一~周六根据团数选休1天、周日及节假日固定休息。']"
广州房旅拾光旅行社有限公司,少于50人,民营公司,广州-番禺区,户外领队\/导游,0.8-2万/月,"['岗位描述：', '1、领队、导游，在户外旅程中与客人互动聊天，日常在微信群与（潜在）客人互动聊天；', '2、每天在微信群发布行程和温馨提示，带客人玩流动营地娱乐项目（根据客人喜好播放电影、音乐，玩平衡车、望远镜、无人机……等等）；', '3、广州房车营地活动协助；', '                    ', '4、作为摄影师取景模特用于公司品牌宣传。', '    ', '任职要求：', '1、20-26岁，女，大专及以上学历，形象气质佳，性格外向，多才艺（唱歌跳舞乐器茶艺棋艺摄影……等）；', '2、活跃气氛，即兴能力，懂得自我包装宣传；', '3、大方自信，上镜效果佳，表达沟通能力强；', '4、服务意识强，与客户互动；', '5、爱旅行、爱户外、爱自拍；', '6、有C1或以上驾照更佳。', '    ', '【此职位需要跟公司房车车队出差】', '-----需附个人生活近照，否则不阅！-----']"
广州昌兴人力资源有限公司,少于50人,民营公司,厦门-海沧区,文员\/招聘专员\/驻厂\/领队\/领班,6-8千/月,"['厦门人力资源管理有限公司大量招聘多项职位：', '朝九晚六，招贤纳士，欢迎志同道合的朋友一起加入我们！底薪加提成！月薪4000-10000元不等！具体面议！', '有兴趣可以直接联系，要求不高，只要有兴趣！欢迎推荐！', '招聘职位：', '1、人事、网络招聘专员50名', '2、驻厂管理员及领队10名', '3、财务、会计及数据员3名', '工作内容：', '负责接听/拨打应聘电话，跟进求职简历，邀约求职者到厂集合并跟进维护，', '完成好上级安排的各工作事项。', '晋升空间：招聘专员-副组长-组长-主管', '公司提供资源招聘，如：一线普工，文职销售，寒暑假工，校企合作等招聘项目。', '工作时间：', '早上9点到下午6点。（做六休一）', '工作要求：中专及以上学历，形象良好，口齿清楚，要有上进心，', '会运用OFFICE等办公软件\xa0，做过销售的优先考虑，有赚钱欲望的秒过', '工作待遇：', '薪资待遇：底薪3000元+绩效提成1000-8000', '综合工资4000-10000，有能力者可达更高，上不封顶', '底薪+累计提成+达标奖励+额外津贴，提成是逐月累计（每个月累计），', '上不封顶，月入4000-10000元不等。', '公司文化：', '1、凡法定的节假日都安排休假。', '2、旅游：公司每年安排全体员工旅游两次。', '工作地址：', '厦门海沧区中达电商园附近写字楼', '工作环境：写字楼工作，无需外出，公司人性化管理，都是90后00后，无代沟', '工作轻松，氛围好，没有经验也可以']"
上海添玺企业服务有限公司,150-500人,民营公司,上海-浦东新区,高薪诚聘地推领队月薪过万,0.8-1万/月,"['工作内我们是一家24小时营业的便利店。是全国连锁型的便利店。全国有2000多家，上海是1300家，分布广泛，就近安排工作。', '三个月晋升领班200块的补贴。', '招聘要求：', '1.男女不限\xa0\xa018-40周岁', '2.无明显纹身，无任何犯罪记录。发色正常。', '3.五官端正，无不良嗜好，无不良性传染疾病，服从管理。', '4.有上进心，能吃苦，能适应翻班工作制，肯学习，有团队意识及责任心。', '5.薪资待遇：', '（不住宿：）前三个月18/小时，三个月后19块/小时。', '6.早晚班工作制：', '每个班次12小时，早班7:00——19:00\xa0\xa0\xa0晚班19:00——7:00', '7.可以选择长期夜班，就近安排，就近分配，做三休一或做六休一。每周休息1-2天，节假日三倍薪资（国家法定节假日）。', '时。月综合工资：4500-5500。', '9.晋升空间：领班——店长——大店长', '面试材料：', '面试时间：\xa0周一至周五', '1.身份证原件以及原件复印件1张（正反面），1寸照片3张。', '2.D类健康证或健康证体检发票，（可以面试过后再办理，公司会报销的）。', '3.项目优点：店面分布广，可以就近安排，离家近，上下班方便，工作相对轻松一点。', '4.区域覆盖：市区、郊区', '工作时间：']"
浙江蜗牛房车销售有限公司,50-150人,民营公司,杭州-余杭区,高薪诚聘户外领队,0.5-1万/月,"['1、负责房车俱乐部游玩线路策划，并带队出游；', '2、日常俱乐部的自有车辆的检查维护，简易维修（可培训）；', '3、相关平台以及车友群的线路宣传和日常维护；', '4、车辆上牌及车辆年审；', '5、领导安排的其他事项。', '任职资格：', '1、学历：大专及以上，驾驶技术熟练，有驾驶证A照优先；', '2、年龄：25-40岁；', '3、具备丰富户外领队经验，有自驾车带队出游经验优先；', '4、富有责任心、团队合作精神，吃苦耐劳，能自主规划岗位目标并努力达成；', '5、工作时间：9：00-18：00。做六休一', '环境福利等:', '公司依托湿地优美的生态环境和自然风光。；工作氛围活跃，提供完善的员工福利，生日祝福、员工体检、员工午餐、节假日福利等；不定期组织团建、旅游，告别宅工作，享受大自然；在这里，您既可以朝九晚五，又可以走遍世界。']"
